inventor_id,name,country
fl:al_ln:kirshenbaum-1,Alexander Kirshenbaum,
fl:al_ln:knoch-2,Alexander Knoch,
fl:al_ln:kober-2,Alfred E. Kober,US
fl:al_ln:kruglov-2,Alexey Kruglov,
fl:al_ln:lacour-2,Alain P. Lacour,
fl:al_ln:laguna-1,Alvaro J. Laguna,
fl:al_ln:lell-1,Alfred Lell,
fl:al_ln:levine-8,Alexander Levine,US
fl:al_ln:lifson-1,Alexander Lifson,US
fl:al_ln:lumbab-1,Alex C. Lumbab,
fl:al_ln:makriyannis-1,Alexandros Makriyannis,US
fl:al_ln:martin-39,Alejandro Martin,
fl:al_ln:mceachern-2,Alexander McEachern,
fl:al_ln:mehmedagic-1,Alen Mehmedagic,US
fl:al_ln:nicosia-1,Alfredo Nicosia,
fl:al_ln:nierenberg-1,Alan B. Nierenberg,
fl:al_ln:oprea-3,Alina Claudia Oprea,
fl:al_ln:patel-11,Alpesh Patel,
fl:al_ln:peacop-1,Alex Peacop,
fl:al_ln:pinkus-3,Alan R. Pinkus,
fl:al_ln:pryke-1,Alexander Pryke,
fl:al_ln:raney-1,Alan L. Raney,
fl:al_ln:renner-4,Alfred Renner,
fl:al_ln:riggs-1,Alan J. Riggs,
fl:al_ln:ring-1,Allan Ring,
fl:al_ln:ross-7,Alexander Evan Ross,
fl:al_ln:schrinsky-1,Alex J. Schrinsky,
fl:al_ln:soldevila-1,Albert Gordo Soldevila,
fl:al_ln:sorrentino-3,Alan Sorrentino,US
fl:al_ln:taylor-71,Alfred Alexander Taylor,
fl:al_ln:terzani-1,Alessio Terzani,
fl:al_ln:tharreau-1,Alexandre Tharreau,
fl:al_ln:trifunovic-1,Alexander L. Trifunovic,US
fl:al_ln:vale-1,Alan M. Vale,
fl:al_ln:vanduren-1,Albert P. Van Duren,
fl:al_ln:vasserot-2,Alain P. Vasserot,
fl:al_ln:watfa-1,Allie K. Watfa,
fl:al_ln:wieland-1,Alexis P. Wieland,
fl:al_ln:williams-55,Alex Williams,
fl:al_ln:wolf-13,Alexander Wolf,
fl:al_ln:zinn-3,Alfred A. Zinn,
fl:am_ln:borgstrom-1,Amie Borgstrom,
fl:am_ln:clardy-1,Amanda Clardy,
fl:am_ln:joshi-12,Amol P. Joshi,
fl:am_ln:kaur-6,Amanpreet Kaur,
fl:am_ln:lu-2,Amy T. Lu,
fl:am_ln:pathak-6,Amit Pathak,
fl:am_ln:springer-1,Amy L. Springer,
fl:an_ln:aalto-1,Antti Aalto,
fl:an_ln:agarwal-24,Anant Agarwal,
fl:an_ln:annunziata-2,Anthony J. Annunziata,US
fl:an_ln:auvil-2,Andrew L. Auvil,
fl:an_ln:banks-1,Anton G. Banks,US
fl:an_ln:bartl-1,Annika Bartl,
fl:an_ln:beccari-1,Antonio Beccari,
fl:an_ln:besana-1,Andrea Besana,
fl:an_ln:bhargava-10,Anand Bhargava,
fl:an_ln:bhargava-5,Ankur Bhargava,
fl:an_ln:bock-6,Anne B. Bock,US
fl:an_ln:champagne-4,Andrew F. Champagne,US
fl:an_ln:chandrakasan-1,Anantha Chandrakasan,US
fl:an_ln:chiriatti-1,Antonio Chiriatti,
fl:an_ln:cochran-4,Andrea Cochran,
fl:an_ln:conry-1,Anne Conry,
fl:an_ln:crook-2,Anna Crook,
fl:an_ln:delage-1,Andre Delage,
fl:an_ln:dierker-2,Andrew S. Dierker,
fl:an_ln:ferreol-1,Anne Ferreol,
fl:an_ln:feyh-1,Ando Feyh,
fl:an_ln:forchione-1,Andrew Forchione,
fl:an_ln:furst-2,Andor Furst,
fl:an_ln:gaidam-1,Andrei-Cosmin Gaidam,
fl:an_ln:gaonkar-1,Anilkumar Ganapati Gaonkar,
fl:an_ln:geraci-3,Antonino Geraci,
fl:an_ln:goswami-4,Animesh Goswami,US
fl:an_ln:graff-1,Andrew James Graff,
fl:an_ln:grant-11,Andrew J. Grant,GB
fl:an_ln:gupta-56,Ankur Gupta,
fl:an_ln:hawryluk-1,Andrew M. Hawryluk,
fl:an_ln:he-11,Anqi He,
fl:an_ln:hettman-1,Andreas Hettman,
fl:an_ln:houbraken-2,Anna M. W. P. Houbraken,
fl:an_ln:hrycin-1,Anna L. Hrycin,
fl:an_ln:huf-2,Andreas Huf,
fl:an_ln:johnsen-3,Andrew C. Johnsen,US
fl:an_ln:johnson-44,Andrew T. Johnson,
fl:an_ln:johnson-49,Andrew Johnson,
fl:an_ln:joseph-5,Andrew P. Joseph,
fl:an_ln:latvaaho-1,Antti Latva-Aho,
fl:an_ln:li-77,Anyin Li,
fl:an_ln:lotz-1,Anne Lotz,
fl:an_ln:macgee-1,Andrew MacGee,
fl:an_ln:madabhushi-1,Anant Madabhushi,
fl:an_ln:mahadeshwar-2,Anand Ramchandra Mahadeshwar,US
fl:an_ln:maimone-1,Andrew Maimone,
fl:an_ln:mansencal-1,Antoine Mansencal,
fl:an_ln:mattes-2,Anton Mattes,
fl:an_ln:mauder-1,Anton Mauder,
fl:an_ln:nadkarni-1,Anil V. Nadkarni,
fl:an_ln:narula-1,Anubhav P. S. Narula,US
fl:an_ln:niemeyer-4,Angela K. Niemeyer,US
fl:an_ln:olson-15,Andrew Olson,
fl:an_ln:palmer-14,Andrew Palmer,
fl:an_ln:papay-1,Andrew G. Papay,
fl:an_ln:pasztor-2,"Andrew J. Pasztor, Jr.",
fl:an_ln:patsialou-1,Antonia Patsialou,US
fl:an_ln:pavelchek-1,Andrew Pavelchek,
fl:an_ln:phelps-1,Andrew Everett Phelps,
fl:an_ln:phillips-27,Anthony John Phillips,
fl:an_ln:pocock-1,Andrew Gordon Pocock,
fl:an_ln:povinelli-1,Anthony J. Povinelli,
fl:an_ln:pradeep-2,Anantha Pradeep,
fl:an_ln:prager-1,Andre Prager,
fl:an_ln:putaggio-1,Andrea Putaggio,
fl:an_ln:putnam-2,Andrew R. Putnam,
fl:an_ln:rajeswaran-1,Anand Rajeswaran,
fl:an_ln:roesgen-1,André Roesgen,
fl:an_ln:roy-16,Anirban Roy,
fl:an_ln:ruia-1,Anil K. Ruia,
fl:an_ln:salituri-1,Andrew Salituri,
fl:an_ln:santos-3,Andres Fernando Sarmiento Santos,
